gene,gene2,ess.curated.model,ess.experimental
SO4410,,yes,no
SO4417,,no,no
SO4480,,no,no
SO4509,,no,no
SO4510,,no,no
SO4511,,no,no
SO4513,,no,no
SO4514,,no,no
SO4515,,no,no
SO4520,,no,no
SO4525,,no,no
SO4573,,no,no
SO4575,,no,no
SO4576,,no,no
SO4591,,no,no
SO4601,,no,no
SO4602,,yes,yes
SO4606,,no,no
SO4607,,no,no
SO4609,,no,no
SO4614,,no,no
SO4652,,no,no
SO4653,,no,no
SO4654,,no,no
SO4655,,no,no
SO4672,,no,no
SO4673,,no,no
SO4674,,no,no
SO4676,,yes,no
SO4677,,yes,yes
SO4684,,yes,yes
SO4686,,no,no
SO4687,,no,no
SO4702,,no,no
SO4713,,no,no
SO4719,,no,no
SO4720,,no,no
SO4721,,no,no
SO4730,,no,no
SO4731,,no,no
SO4739,,no,no
SO4741,,yes,yes
SO4745,,yes,yes
SO4746,,no,yes
SO4747,,no,yes
SO4748,,no,yes
SO4749,,no,yes
SO4750,,no,yes
SO4751,,no,yes
SO4752,,no,yes
SO4753,,no,yes
SO4754,,no,yes
SO4778,,no,yes
SOA0161,,no,no
